fixture,source_mode,base_samples,resolution,subdivision_factor,projection,projection_class,projection_direction,expected_crossing_count,expected_determinant,polygon_length,vertex_distortion_estimate,minimum_nonlocal_vertex_clearance,crossing_count,gauss_component_count,alternating_projection,canonical_gauss_signature,pd_code,fox_determinant,first_tait_tree_count,second_tait_tree_count,unsigned_tait_shortcut_applicable,unsigned_tait_shortcut_agrees,tait_construction_status,tait_error,simplification_status,simplification_changed,simplified_crossing_count,simplified_component_count,simplified_fox_determinant,simplification_error,topological_fixture_pass,minimum_crossing_angle_degrees,minimum_crossing_depth_separation,minimum_crossing_vertex_parameter_margin,normalized_minimum_depth_separation,crossing_count_matches_expected,determinant_matches_expected,backend_messages,extraction_status,error_message,runtime_seconds,direction_index,direction_x,direction_y,direction_z,longitude_radians,latitude_radians,raw_minimal_diagram_pass,extra_raw_crossings
3_1_torus_T_2_3,deterministic_angular_sweep,24,96,,fibonacci_000,generic_tilt,"[0.04520830426184802, 0.11627628334926333, 0.9921875]",3,3,31.848201000228453,7.962050250057112,1.5660467858401352,3,1,True,1:+1:-1|2:-1:-1|3:+1:-1|1:-1:-1|2:+1:-1|3:-1:-1,"[[2, 5, 3, 6], [4, 1, 5, 2], [6, 3, 1, 4]]",3,3,3,True,True,passed,,passed,False,3,1,3,,True,63.10894187612494,1.991616973850097,0.04202269249543633,0.24270152320823635,True,True,,passed,,0.0044098999933339655,0,0.04520830426184802,0.11627628334926333,0.9921875,1.1999816148643265,1.4457148032019138,True,0
3_1_torus_T_2_3,deterministic_angular_sweep,24,96,,fibonacci_001,generic_tilt,"[-0.19301817240042246, -0.09523480832631934, 0.9765625]",3,3,31.848201000228453,7.962050250057112,1.5660467858401352,3,1,True,1:+1:-1|2:-1:-1|3:+1:-1|1:-1:-1|2:+1:-1|3:-1:-1,"[[2, 5, 3, 6], [4, 1, 5, 2], [6, 3, 1, 4]]",3,3,3,True,True,passed,,passed,False,3,1,3,,True,63.6678006150924,1.9946769562586533,0.163235889739326,0.2428316957090659,True,True,,passed,,0.0038721000018995255,1,-0.19301817240042246,-0.09523480832631934,0.9765625,-2.683240462586607,1.3538648662553876,True,0
3_1_torus_T_2_3,deterministic_angular_sweep,24,96,,fibonacci_002,generic_tilt,"[0.26573486325149126, -0.07735698770286513, 0.9609375]",3,3,31.848201000228453,7.962050250057112,1.5660467858401352,3,1,True,1:+1:-1|2:-1:-1|3:+1:-1|1:-1:-1|2:+1:-1|3:-1:-1,"[[2, 5, 3, 6], [4, 1, 5, 2], [6, 3, 1, 4]]",3,3,3,True,True,passed,,passed,False,3,1,3,,True,52.808733338118145,1.9983245961020764,0.010897278397884236,0.24164929442049057,True,True,,passed,,0.0034539999905973673,2,0.26573486325149126,-0.07735698770286513,0.9609375,-0.28327723285795364,1.2903698801933186,True,0
3_1_torus_T_2_3,deterministic_angular_sweep,24,96,,fibonacci_003,generic_tilt,"[-0.1693384430614624, 0.2787629262388918, 0.9453125]",3,3,31.848201000228453,7.962050250057112,1.5660467858401352,3,1,True,1:+1:-1|2:-1:-1|3:+1:-1|1:-1:-1|2:+1:-1|3:-1:-1,"[[2, 5, 3, 6], [4, 1, 5, 2], [6, 3, 1, 4]]",3,3,3,True,True,passed,,passed,False,3,1,3,,True,64.51751278834321,1.994242040540037,0.006088049826757924,0.23590463404765388,True,True,,passed,,0.003947600009269081,3,-0.1693384430614624,0.2787629262388918,0.9453125,2.1166859968706997,1.2385513773728343,True,0
3_1_torus_T_2_3,deterministic_angular_sweep,24,96,,fibonacci_004,generic_tilt,"[-0.07164105709419773, -0.36131525193683134, 0.9296875]",3,3,31.848201000228453,7.962050250057112,1.5660467858401352,3,1,True,1:+1:-1|2:-1:-1|3:+1:-1|1:-1:-1|2:+1:-1|3:-1:-1,"[[2, 5, 3, 6], [4, 1, 5, 2], [6, 3, 1, 4]]",3,3,3,True,True,passed,,passed,False,3,1,3,,True,65.07546404281345,1.9980099068262807,0.011383584713826167,0.24621589235416474,True,True,,passed,,0.0034260000102221966,4,-0.07164105709419773,-0.36131525193683134,0.9296875,-1.7665360805802348,1.1935635544440883,True,0
3_1_torus_T_2_3,deterministic_angular_sweep,24,96,,fibonacci_005,generic_tilt,"[0.3268936164612606, 0.24006313671746496, 0.9140625]",3,3,31.848201000228453,7.962050250057112,1.5660467858401352,3,1,True,1:+1:-1|2:-1:-1|3:+1:-1|1:-1:-1|2:+1:-1|3:-1:-1,"[[2, 5, 3, 6], [4, 1, 5, 2], [6, 3, 1, 4]]",3,3,3,True,True,passed,,passed,False,3,1,3,,True,65.06975078277553,1.994530267574885,0.07605794450390846,0.23191640073815262,True,True,,passed,,0.0027744999970309436,5,0.3268936164612606,0.24006313671746496,0.9140625,0.6334271491484186,1.1531903234869172,True,0
3_1_torus_T_2_3,deterministic_angular_sweep,24,96,,fibonacci_006,generic_tilt,"[-0.43653348768112554, 0.047419117734334, 0.8984375]",3,3,31.848201000228453,7.962050250057112,1.5660467858401352,3,1,True,1:+1:-1|2:-1:-1|3:+1:-1|1:-1:-1|2:+1:-1|3:-1:-1,"[[2, 5, 3, 6], [4, 1, 5, 2], [6, 3, 1, 4]]",3,3,3,True,True,passed,,passed,False,3,1,3,,True,54.36354486202463,1.9971924196612896,0.06261642155999425,0.2346783189556174,True,True,,passed,,0.0026409999991301447,6,-0.43653348768112554,0.047419117734334,0.8984375,3.033390378877072,1.1161980547786983,True,0
3_1_torus_T_2_3,deterministic_angular_sweep,24,96,,fibonacci_007,generic_tilt,"[0.31007033289177977, -0.3528434192444729, 0.8828125]",3,3,31.848201000228453,7.962050250057112,1.5660467858401352,3,1,True,1:+1:-1|2:-1:-1|3:+1:-1|1:-1:-1|2:+1:-1|3:-1:-1,"[[2, 5, 3, 6], [4, 1, 5, 2], [6, 3, 1, 4]]",3,3,3,True,True,passed,,passed,False,3,1,3,,True,43.175338214324476,2.0047086090133925,0.16953098711416992,0.2463366836547921,True,True,,passed,,0.002759499999228865,7,0.31007033289177977,-0.3528434192444729,0.8828125,-0.8498316985738625,1.0818164589075494,True,0
3_1_torus_T_2_3,deterministic_angular_sweep,24,96,,fibonacci_008,generic_tilt,"[0.010289959042320171, 0.49787544284354635, 0.8671875]",3,3,31.848201000228453,7.962050250057112,1.5660467858401352,3,1,True,1:+1:-1|2:-1:-1|3:+1:-1|1:-1:-1|2:+1:-1|3:-1:-1,"[[2, 5, 3, 6], [4, 1, 5, 2], [6, 3, 1, 4]]",3,3,3,True,True,passed,,passed,False,3,1,3,,True,43.386078183819656,2.0126929017829704,0.14888243187468575,0.24020385834743416,True,True,,passed,,0.00520709999545943,8,0.010289959042320171,0.49787544284354635,0.8671875,1.5501315311547927,1.0495264428241564,True,0
3_1_torus_T_2_3,deterministic_angular_sweep,24,96,,fibonacci_009,generic_tilt,"[-0.3620400469186131, -0.3791679219302689, 0.8515625]",3,3,31.848201000228453,7.962050250057112,1.5660467858401352,3,1,True,1:+1:-1|2:-1:-1|3:+1:-1|1:-1:-1|2:+1:-1|3:-1:-1,"[[2, 5, 3, 6], [4, 1, 5, 2], [6, 3, 1, 4]]",3,3,3,True,True,passed,,passed,False,3,1,3,,True,32.763155947911116,2.009233431200381,0.06142118858417689,0.24729793404659992,True,True,,passed,,0.0035057000059168786,9,-0.3620400469186131,-0.3791679219302689,0.8515625,-2.333090546296142,1.01895854909946,True,0
