atlas_index,graph_fingerprint,vertex_count,edge_count,route,preblock_route,structural_chromatic_number,independent_chromatic_number,certificate_valid,exact_match,independent_assignments_tested,preblock_search_nodes,block_search_nodes,block_search_nodes_saved,dual_parity_agreement
1,f3c930da8b750575b149fc0b324db5912c370aae8331835bcb99cc4ce63e0e36,1,0,edgeless,edgeless,1,1,True,True,1,0,0,0,
2,0e0949a4d7142cba5d0b845d00e4b20ad3f2c31db03216b4ce48bc0052ca00d0,2,0,edgeless,edgeless,1,1,True,True,1,0,0,0,
3,8071fd47f23741712cb568e8fcae3f47a6040db29299c3a56614c7bb60cf3243,2,1,bipartite,bipartite,2,2,True,True,3,0,0,0,
4,626938c3fd46f4155cc77ec411626ef8188af25ad6829f2ad4c068ebc5d92fbf,3,0,edgeless,edgeless,1,1,True,True,1,0,0,0,
5,0486457249d250c39c449ae341c1c7d8fdbeb79fd0e970ffbe149311b5258981,3,1,bipartite,bipartite,2,2,True,True,3,0,0,0,
6,b8b5404824c4821ae473561cf87ee94eab596884b886ac89bc716568dc927bcc,3,2,bipartite,bipartite,2,2,True,True,5,0,0,0,
7,7183b7040886f88e7fa59e6ee923163565eeef2a49d5d9b5f549626de39408de,3,3,eulerian_sphere_triangulation,eulerian_sphere_triangulation,3,3,True,True,11,4,4,0,True
8,237e9412c42a2167bf591732aab90c03cad9867807dd6be7b898765db6692777,4,0,edgeless,edgeless,1,1,True,True,1,0,0,0,
9,9c1fa2c66030f16f64b2b69f9c79013549f0af84b470af728477961815cf7643,4,1,bipartite,bipartite,2,2,True,True,3,0,0,0,
10,209b84bf7f48b5a04be7adef6389809b6489338fbbbeeeb3bade2c837ccee8a8,4,2,bipartite,bipartite,2,2,True,True,3,0,0,0,
11,47b45e995875f6ec0a6e9089da039e093410dc79827660aed0ec384b87dd501f,4,2,bipartite,bipartite,2,2,True,True,7,0,0,0,
12,d8908725dbf725247a7970b875634ba3e3859dccb6f9c834b10ea242fa8491bb,4,3,block_decomposition,generic_planar_three_color_yes,3,3,True,True,15,5,4,1,
13,1aad8d9eb733699b97d3882e9d1edd8b25adca00e2377acc0aa499a429a5884b,4,3,bipartite,bipartite,2,2,True,True,3,0,0,0,
14,7c7cccd8f2100363122b32963f8824e9ba6a265d87d39750eda1f84ef1ac2e0c,4,3,bipartite,bipartite,2,2,True,True,7,0,0,0,
15,6f5dfe6d6ce1a45c18a2d63c424b0fd8d475d917f847dc124555d01964edda83,4,4,block_decomposition,generic_planar_three_color_yes,3,3,True,True,15,5,4,1,
