fixture,source_mode,base_samples,resolution,subdivision_factor,projection,projection_class,projection_direction,expected_crossing_count,expected_determinant,polygon_length,vertex_distortion_estimate,minimum_nonlocal_vertex_clearance,crossing_count,gauss_component_count,alternating_projection,canonical_gauss_signature,pd_code,fox_determinant,first_tait_tree_count,second_tait_tree_count,unsigned_tait_shortcut_applicable,unsigned_tait_shortcut_agrees,tait_construction_status,tait_error,simplification_status,simplification_changed,simplified_crossing_count,simplified_component_count,simplified_fox_determinant,simplification_error,topological_fixture_pass,minimum_crossing_angle_degrees,minimum_crossing_depth_separation,minimum_crossing_vertex_parameter_margin,normalized_minimum_depth_separation,crossing_count_matches_expected,determinant_matches_expected,backend_messages,extraction_status,error_message,runtime_seconds,reference_resolution,signature_matches_reference,crossing_count_matches_reference,determinant_matches_reference,projection_stability_pass
3_1_torus_T_2_3,exact_polygon_subdivision,24,24,1,z_axis,axis_aligned_reference,"[0.0, 0.0, 1.0]",3,3,31.111473316611864,7.777868329152967,1.6618927959282308,3,1,True,1:+1:-1|2:-1:-1|3:+1:-1|1:-1:-1|2:+1:-1|3:-1:-1,"[[2, 5, 3, 6], [4, 1, 5, 2], [6, 3, 1, 4]]",3,3,3,True,True,passed,,passed,False,3,1,3,,True,67.98546386556724,1.9999999999999991,0.0,0.2542534682939368,True,True,,passed,,0.002374099989538081,48,True,True,True,True
3_1_torus_T_2_3,exact_polygon_subdivision,24,24,1,tilt_x_005,generic_tilt,"[0.05, 0.0, 1.0]",3,3,31.111473316611864,7.777868329152967,1.6618927959282308,3,1,True,1:+1:-1|2:-1:-1|3:+1:-1|1:-1:-1|2:+1:-1|3:-1:-1,"[[2, 5, 3, 6], [4, 1, 5, 2], [6, 3, 1, 4]]",3,3,3,True,True,passed,,passed,False,3,1,3,,True,68.89970696441878,1.9618668466768927,0.02636409588035704,0.24757605683798353,True,True,,passed,,0.001124400005210191,192,True,True,True,True
3_1_torus_T_2_3,exact_polygon_subdivision,24,24,1,tilt_y_neg007,generic_tilt,"[0.0, -0.07, 1.0]",3,3,31.111473316611864,7.777868329152967,1.6618927959282308,3,1,True,1:+1:-1|2:-1:-1|3:+1:-1|1:-1:-1|2:+1:-1|3:-1:-1,"[[2, 5, 3, 6], [4, 1, 5, 2], [6, 3, 1, 4]]",3,3,3,True,True,passed,,passed,False,3,1,3,,True,69.43572067494391,1.9432620403930316,0.09620547644776778,0.24743212825349156,True,True,,passed,,0.0010119999933522195,192,True,True,True,True
3_1_torus_T_2_3,exact_polygon_subdivision,24,24,1,oblique_008_neg006,generic_tilt,"[0.08, -0.06, 1.0]",3,3,31.111473316611864,7.777868329152967,1.6618927959282308,3,1,True,1:+1:-1|2:-1:-1|3:+1:-1|1:-1:-1|2:+1:-1|3:-1:-1,"[[2, 5, 3, 6], [4, 1, 5, 2], [6, 3, 1, 4]]",3,3,3,True,True,passed,,passed,False,3,1,3,,True,28.106285781643685,1.9443873065008697,0.0018878905043946403,0.24549372527249913,True,True,,passed,,0.0010365000052843243,192,True,True,True,True
3_1_torus_T_2_3,exact_polygon_subdivision,24,48,2,z_axis,axis_aligned_reference,"[0.0, 0.0, 1.0]",3,3,31.111473316611864,8.468597381502592,1.5271236954440026,3,1,True,1:+1:-1|2:-1:-1|3:+1:-1|1:-1:-1|2:+1:-1|3:-1:-1,"[[2, 5, 3, 6], [4, 1, 5, 2], [6, 3, 1, 4]]",3,3,3,True,True,passed,,passed,False,3,1,3,,True,67.98546386556727,1.9999999999999991,0.0,0.2542534682939368,True,True,,passed,,0.0016362000023946166,48,True,True,True,True
3_1_torus_T_2_3,exact_polygon_subdivision,24,48,2,tilt_x_005,generic_tilt,"[0.05, 0.0, 1.0]",3,3,31.111473316611864,8.468597381502592,1.5271236954440026,3,1,True,1:+1:-1|2:-1:-1|3:+1:-1|1:-1:-1|2:+1:-1|3:-1:-1,"[[2, 5, 3, 6], [4, 1, 5, 2], [6, 3, 1, 4]]",3,3,3,True,True,passed,,passed,False,3,1,3,,True,68.89970696441878,1.9618668466768932,0.05272819176071408,0.2475760568379836,True,True,,passed,,0.0017374999879393727,192,True,True,True,True
3_1_torus_T_2_3,exact_polygon_subdivision,24,48,2,tilt_y_neg007,generic_tilt,"[0.0, -0.07, 1.0]",3,3,31.111473316611864,8.468597381502592,1.5271236954440026,3,1,True,1:+1:-1|2:-1:-1|3:+1:-1|1:-1:-1|2:+1:-1|3:-1:-1,"[[2, 5, 3, 6], [4, 1, 5, 2], [6, 3, 1, 4]]",3,3,3,True,True,passed,,passed,False,3,1,3,,True,69.4357206749439,1.9432620403930319,0.19241095289553556,0.2474321282534916,True,True,,passed,,0.0015860999992582947,192,True,True,True,True
3_1_torus_T_2_3,exact_polygon_subdivision,24,48,2,oblique_008_neg006,generic_tilt,"[0.08, -0.06, 1.0]",3,3,31.111473316611864,8.468597381502592,1.5271236954440026,3,1,True,1:+1:-1|2:-1:-1|3:+1:-1|1:-1:-1|2:+1:-1|3:-1:-1,"[[2, 5, 3, 6], [4, 1, 5, 2], [6, 3, 1, 4]]",3,3,3,True,True,passed,,passed,False,3,1,3,,True,28.106285781643685,1.944387306500869,0.0037757810087892807,0.24549372527249905,True,True,,passed,,0.0016146999987540767,192,True,True,True,True
3_1_torus_T_2_3,exact_polygon_subdivision,24,96,4,z_axis,axis_aligned_reference,"[0.0, 0.0, 1.0]",3,3,31.111473316611864,8.475829426340482,1.4309720537438932,2,1,False,1:+1:-1|2:+1:-1|1:-1:-1|2:-1:-1,"[[3, 1, 4, 2], [4, 2, 1, 3]]",1,,,False,,not_applicable,,skipped_precheck_failure,,,,,,False,67.98546386556728,1.9999999999999991,0.0,0.2542534682939368,False,False,,passed,,0.0024671999999554828,48,False,False,False,False
3_1_torus_T_2_3,exact_polygon_subdivision,24,96,4,tilt_x_005,generic_tilt,"[0.05, 0.0, 1.0]",3,3,31.111473316611864,8.475829426340482,1.4309720537438932,3,1,True,1:+1:-1|2:-1:-1|3:+1:-1|1:-1:-1|2:+1:-1|3:-1:-1,"[[2, 5, 3, 6], [4, 1, 5, 2], [6, 3, 1, 4]]",3,3,3,True,True,passed,,passed,False,3,1,3,,True,68.89970696441881,1.9618668466768932,0.10545638352142817,0.2475760568379836,True,True,,passed,,0.0028716999950120226,192,True,True,True,True
3_1_torus_T_2_3,exact_polygon_subdivision,24,96,4,tilt_y_neg007,generic_tilt,"[0.0, -0.07, 1.0]",3,3,31.111473316611864,8.475829426340482,1.4309720537438932,3,1,True,1:+1:-1|2:-1:-1|3:+1:-1|1:-1:-1|2:+1:-1|3:-1:-1,"[[2, 5, 3, 6], [4, 1, 5, 2], [6, 3, 1, 4]]",3,3,3,True,True,passed,,passed,False,3,1,3,,True,69.43572067494391,1.9432620403930316,0.3848219057910711,0.24743212825349156,True,True,,passed,,0.002962600003229454,192,True,True,True,True
3_1_torus_T_2_3,exact_polygon_subdivision,24,96,4,oblique_008_neg006,generic_tilt,"[0.08, -0.06, 1.0]",3,3,31.111473316611864,8.475829426340482,1.4309720537438932,3,1,True,1:+1:-1|2:-1:-1|3:+1:-1|1:-1:-1|2:+1:-1|3:-1:-1,"[[2, 5, 3, 6], [4, 1, 5, 2], [6, 3, 1, 4]]",3,3,3,True,True,passed,,passed,False,3,1,3,,True,28.106285781643642,1.9443873065008697,0.007551562017578561,0.24549372527249913,True,True,,passed,,0.0034028999943984672,192,True,True,True,True
3_1_torus_T_2_3,exact_polygon_subdivision,24,192,8,z_axis,axis_aligned_reference,"[0.0, 0.0, 1.0]",3,3,31.111473316611864,8.512417816499136,1.4309720537438932,2,1,False,1:+1:-1|2:+1:-1|1:-1:-1|2:-1:-1,"[[3, 1, 4, 2], [4, 2, 1, 3]]",1,,,False,,not_applicable,,skipped_precheck_failure,,,,,,False,67.9854638655673,1.9999999999999991,0.0,0.2542534682939368,False,False,,passed,,0.004928399997879751,48,False,False,False,False
3_1_torus_T_2_3,exact_polygon_subdivision,24,192,8,tilt_x_005,generic_tilt,"[0.05, 0.0, 1.0]",3,3,31.111473316611864,8.512417816499136,1.4309720537438932,3,1,True,1:+1:-1|2:-1:-1|3:+1:-1|1:-1:-1|2:+1:-1|3:-1:-1,"[[2, 5, 3, 6], [4, 1, 5, 2], [6, 3, 1, 4]]",3,3,3,True,True,passed,,passed,False,3,1,3,,True,68.89970696441881,1.961866846676893,0.21091276704285633,0.24757605683798356,True,True,,passed,,0.005617400005576201,192,True,True,True,True
3_1_torus_T_2_3,exact_polygon_subdivision,24,192,8,tilt_y_neg007,generic_tilt,"[0.0, -0.07, 1.0]",3,3,31.111473316611864,8.512417816499136,1.4309720537438932,3,1,True,1:+1:-1|2:-1:-1|3:+1:-1|1:-1:-1|2:+1:-1|3:-1:-1,"[[2, 5, 3, 6], [4, 1, 5, 2], [6, 3, 1, 4]]",3,3,3,True,True,passed,,passed,False,3,1,3,,True,69.435720674944,1.9432620403930319,0.160355759015971,0.2474321282534916,True,True,,passed,,0.005301699988194741,192,True,True,True,True
3_1_torus_T_2_3,exact_polygon_subdivision,24,192,8,oblique_008_neg006,generic_tilt,"[0.08, -0.06, 1.0]",3,3,31.111473316611864,8.512417816499136,1.4309720537438932,3,1,True,1:+1:-1|2:-1:-1|3:+1:-1|1:-1:-1|2:+1:-1|3:-1:-1,"[[2, 5, 3, 6], [4, 1, 5, 2], [6, 3, 1, 4]]",3,3,3,True,True,passed,,passed,False,3,1,3,,True,28.106285781643727,1.9443873065008697,0.015103124035157123,0.24549372527249913,True,True,,passed,,0.005408700002590194,192,True,True,True,True
3_1_torus_T_2_3,smooth_parametric_resampling,24,16,,z_axis,axis_aligned_reference,"[0.0, 0.0, 1.0]",3,3,30.18266129798782,7.545665324496951,1.579679298302363,3,1,True,1:+1:-1|2:-1:-1|3:+1:-1|1:-1:-1|2:+1:-1|3:-1:-1,"[[2, 5, 3, 6], [4, 1, 5, 2], [6, 3, 1, 4]]",3,3,3,True,True,passed,,passed,False,3,1,3,,True,60.31502983517635,1.6955181300451467,0.0,0.22075035329181478,True,True,,passed,,0.0009439999994356185,96,True,True,True,True
3_1_torus_T_2_3,smooth_parametric_resampling,24,16,,tilt_x_005,generic_tilt,"[0.05, 0.0, 1.0]",3,3,30.18266129798782,7.545665324496951,1.579679298302363,3,1,True,1:+1:-1|2:-1:-1|3:+1:-1|1:-1:-1|2:+1:-1|3:-1:-1,"[[2, 5, 3, 6], [4, 1, 5, 2], [6, 3, 1, 4]]",3,3,3,True,True,passed,,passed,False,3,1,3,,True,61.75921186622232,1.6906712983253507,0.02817820624135159,0.2190766870837709,True,True,,passed,,0.0008679000020492822,96,True,True,True,True
3_1_torus_T_2_3,smooth_parametric_resampling,24,16,,tilt_y_neg007,generic_tilt,"[0.0, -0.07, 1.0]",3,3,30.18266129798782,7.545665324496951,1.579679298302363,3,1,True,1:+1:-1|2:-1:-1|3:+1:-1|1:-1:-1|2:+1:-1|3:-1:-1,"[[2, 5, 3, 6], [4, 1, 5, 2], [6, 3, 1, 4]]",3,3,3,True,True,passed,,passed,False,3,1,3,,True,65.8386080679234,1.676326133242711,0.0870490597915401,0.22048304803844637,True,True,,passed,,0.0010271000064676628,96,True,True,True,True
3_1_torus_T_2_3,smooth_parametric_resampling,24,16,,oblique_008_neg006,generic_tilt,"[0.08, -0.06, 1.0]",3,3,30.18266129798782,7.545665324496951,1.579679298302363,3,1,True,1:+1:-1|2:-1:-1|3:+1:-1|1:-1:-1|2:+1:-1|3:-1:-1,"[[2, 5, 3, 6], [4, 1, 5, 2], [6, 3, 1, 4]]",3,3,3,True,True,passed,,passed,False,3,1,3,,True,65.68577918360829,1.6729807923494195,0.013622897748164053,0.21758673680392346,True,True,,passed,,0.00112079999234993,96,True,True,True,True
3_1_torus_T_2_3,smooth_parametric_resampling,24,24,,z_axis,axis_aligned_reference,"[0.0, 0.0, 1.0]",3,3,31.111473316611864,7.777868329152967,1.6618927959282308,3,1,True,1:+1:-1|2:-1:-1|3:+1:-1|1:-1:-1|2:+1:-1|3:-1:-1,"[[2, 5, 3, 6], [4, 1, 5, 2], [6, 3, 1, 4]]",3,3,3,True,True,passed,,passed,False,3,1,3,,True,67.98546386556724,1.9999999999999991,0.0,0.2542534682939368,True,True,,passed,,0.001019200004520826,96,True,True,True,True
3_1_torus_T_2_3,smooth_parametric_resampling,24,24,,tilt_x_005,generic_tilt,"[0.05, 0.0, 1.0]",3,3,31.111473316611864,7.777868329152967,1.6618927959282308,3,1,True,1:+1:-1|2:-1:-1|3:+1:-1|1:-1:-1|2:+1:-1|3:-1:-1,"[[2, 5, 3, 6], [4, 1, 5, 2], [6, 3, 1, 4]]",3,3,3,True,True,passed,,passed,False,3,1,3,,True,68.89970696441878,1.9618668466768927,0.02636409588035704,0.24757605683798353,True,True,,passed,,0.0012409000046318397,96,True,True,True,True
3_1_torus_T_2_3,smooth_parametric_resampling,24,24,,tilt_y_neg007,generic_tilt,"[0.0, -0.07, 1.0]",3,3,31.111473316611864,7.777868329152967,1.6618927959282308,3,1,True,1:+1:-1|2:-1:-1|3:+1:-1|1:-1:-1|2:+1:-1|3:-1:-1,"[[2, 5, 3, 6], [4, 1, 5, 2], [6, 3, 1, 4]]",3,3,3,True,True,passed,,passed,False,3,1,3,,True,69.43572067494391,1.9432620403930316,0.09620547644776778,0.24743212825349156,True,True,,passed,,0.001131199998781085,96,True,True,True,True
3_1_torus_T_2_3,smooth_parametric_resampling,24,24,,oblique_008_neg006,generic_tilt,"[0.08, -0.06, 1.0]",3,3,31.111473316611864,7.777868329152967,1.6618927959282308,3,1,True,1:+1:-1|2:-1:-1|3:+1:-1|1:-1:-1|2:+1:-1|3:-1:-1,"[[2, 5, 3, 6], [4, 1, 5, 2], [6, 3, 1, 4]]",3,3,3,True,True,passed,,passed,False,3,1,3,,True,28.106285781643685,1.9443873065008697,0.0018878905043946403,0.24549372527249913,True,True,,passed,,0.001269000000320375,96,True,True,True,True
3_1_torus_T_2_3,smooth_parametric_resampling,24,32,,z_axis,axis_aligned_reference,"[0.0, 0.0, 1.0]",3,3,31.450836643244422,7.862709160811103,1.579679298302363,3,1,True,1:+1:-1|2:-1:-1|3:+1:-1|1:-1:-1|2:+1:-1|3:-1:-1,"[[2, 5, 3, 6], [4, 1, 5, 2], [6, 3, 1, 4]]",3,3,3,True,True,passed,,passed,False,3,1,3,,True,70.5507600642671,1.9231411216129217,0.0,0.24214641201878195,True,True,,passed,,0.0013807000068482012,96,True,True,True,True
3_1_torus_T_2_3,smooth_parametric_resampling,24,32,,tilt_x_005,generic_tilt,"[0.05, 0.0, 1.0]",3,3,31.450836643244422,7.862709160811103,1.579679298302363,3,1,True,1:+1:-1|2:-1:-1|3:+1:-1|1:-1:-1|2:+1:-1|3:-1:-1,"[[2, 5, 3, 6], [4, 1, 5, 2], [6, 3, 1, 4]]",3,3,3,True,True,passed,,passed,False,3,1,3,,True,71.27919752594853,1.9201870992695829,0.06402651082751731,0.2401247448625426,True,True,,passed,,0.0012556999863591045,96,True,True,True,True
