fox_determinant,first_knot,second_knot,first_volume,second_volume,volume_difference,first_systole,second_systole,scale_free_short_spectrum_distance,finite_fingerprint_equal,status
9,6_1,8_20,3.1639632288831443,4.124903251807674,0.9609400229245297,0.3306355216310465,0.6847775846586461,7.313672029356763,False,finite_numerical_unverified
11,6_2,7_2,4.400832516123044,3.3317442316411157,1.0690882844819285,0.6123703878995347,0.21710146498841373,10.425487125173554,False,finite_numerical_unverified
13,6_3,7_3,5.693021091281301,4.592125697027062,1.1008953942542385,1.2779273293770275,0.49585384687395245,4.202695269677512,False,finite_numerical_unverified
13,6_3,8_1,5.693021091281301,3.4272052462740166,2.265815845007284,1.2779273293770275,0.15357869278839223,19.883175774129345,False,finite_numerical_unverified
13,7_3,8_1,4.592125697027062,3.4272052462740166,1.1649204507530455,0.49585384687395245,0.15357869278839223,16.076630514539914,False,finite_numerical_unverified
15,7_4,8_21,5.137941201873417,6.783713519835127,1.6457723179617094,0.6545044131847584,1.341288685968916,4.423926390601361,False,finite_numerical_unverified
17,7_5,8_2,6.443537380850574,4.935242678280654,1.5082947025699198,0.8360672248427061,0.25907228371700153,9.560625510540154,False,finite_numerical_unverified
17,7_5,8_3,6.443537380850574,5.238684100798439,1.2048532800521352,0.8360672248427061,0.6002213431912253,2.8339440264369706,False,finite_numerical_unverified
17,8_2,8_3,4.935242678280654,5.238684100798439,0.3034414225177846,0.25907228371700153,0.6002213431912253,7.955820633681901,False,finite_numerical_unverified
19,7_6,8_4,7.084925953510834,5.500486416347234,1.5844395371636004,1.191390146328299,0.4167752633516181,5.081937398137248,False,finite_numerical_unverified
21,7_7,8_5,7.643375172359954,6.997189147792215,0.6461860245677391,1.272605832951412,0.8808877879601164,1.2727525555547508,False,finite_numerical_unverified
23,8_6,8_7,7.475237429505244,7.022196589095252,0.45304084040999193,0.9850994940538148,0.44936317455094904,4.778617808476157,False,finite_numerical_unverified
25,8_8,8_9,7.801341224440063,7.588180223641627,0.21316100079843547,0.7683712074581466,0.7931455305083244,1.168732823146183,False,finite_numerical_unverified
27,8_10,8_11,8.651148558017082,8.286316817806592,0.3648317402104908,0.8525485309924616,0.9063412570236384,1.1700383679433513,False,finite_numerical_unverified
29,8_12,8_13,8.935856927486691,8.531232201460416,0.40462472602627564,1.5090746352131417,0.7393107541114448,3.075149841775929,False,finite_numerical_unverified
