fox_determinant,knot_count,knot_names,geometry_types,volumes,minimum_volume,maximum_volume,volume_range,distinct_volume,cross_geometry_collision
3,2,3_1 8_19,torus,0 0,0.0,0.0,0.0,False,False
5,2,4_1 5_1,hyperbolic torus,2.02988321282 0,0.0,2.029883212819307,2.029883212819307,True,True
7,2,5_2 7_1,hyperbolic torus,2.82812208833 0,0.0,2.828122088330783,2.828122088330783,True,True
9,2,6_1 8_20,hyperbolic,3.16396322888 4.12490325181,3.1639632288831443,4.124903251807674,0.9609400229245297,True,False
11,2,6_2 7_2,hyperbolic,4.40083251612 3.33174423164,3.3317442316411157,4.400832516123044,1.0690882844819285,True,False
13,3,6_3 7_3 8_1,hyperbolic,5.69302109128 4.59212569703 3.42720524627,3.4272052462740166,5.693021091281301,2.265815845007284,True,False
15,2,7_4 8_21,hyperbolic,5.13794120187 6.78371351984,5.137941201873417,6.783713519835127,1.6457723179617094,True,False
17,3,7_5 8_2 8_3,hyperbolic,6.44353738085 4.93524267828 5.2386841008,4.935242678280654,6.443537380850574,1.5082947025699198,True,False
19,2,7_6 8_4,hyperbolic,7.08492595351 5.50048641635,5.500486416347234,7.084925953510834,1.5844395371636004,True,False
21,2,7_7 8_5,hyperbolic,7.64337517236 6.99718914779,6.997189147792215,7.643375172359954,0.6461860245677391,True,False
23,2,8_6 8_7,hyperbolic,7.47523742951 7.0221965891,7.022196589095252,7.475237429505244,0.45304084040999193,True,False
25,2,8_8 8_9,hyperbolic,7.80134122444 7.58818022364,7.588180223641627,7.801341224440063,0.21316100079843547,True,False
27,2,8_10 8_11,hyperbolic,8.65114855802 8.28631681781,8.286316817806592,8.651148558017082,0.3648317402104908,True,False
29,2,8_12 8_13,hyperbolic,8.93585692749 8.53123220146,8.531232201460416,8.935856927486691,0.40462472602627564,True,False
