knot_name,prime_table_fixture,crossing_count,component_count,alternating_diagram,expected_geometry,torus_type,canonical_real_volume_kind,snappy_volume_numeric,jsj_hyperbolic_volume_numeric,normalized_simplicial_volume_numeric,snappy_solution_type,numerically_hyperbolic,verified_hyperbolic,verification_status,verification_error,geometry_gate_passed,isometry_signature_unverified,fox_determinant,log_fox_determinant,first_tait_vertex_count,second_tait_vertex_count,first_tait_tree_count,second_tait_tree_count,unsigned_tait_determinant_applicable,unsigned_tait_matches_fox,first_tait_algebraic_connectivity,second_tait_algebraic_connectivity,maximum_tait_spectral_radius,volume_per_crossing
3_1,True,3,1,True,torus,"T(2,3)",JSJ_hyperbolic_piece_volume,0.0,0.0,0.0,contains flat tetrahedra,False,False,not_attempted_for_nonhyperbolic_fixture,,True,,3,1.0986122886681098,3,2,3,3,True,True,3.0,6.0,6.0,0.0
4_1,True,4,1,True,hyperbolic,,JSJ_hyperbolic_piece_volume,2.029883212819307,2.029883212819307,1.9999999999999996,all tetrahedra positively oriented,True,False,unavailable,"SageNotAvailable: Sorry, this feature requires using SnapPy inside Sage.",True,cPcbbbiht,5,1.6094379124341003,3,3,5,5,True,True,3.000000000000001,3.0,5.0,0.5074708032048267
5_1,True,5,1,True,torus,"T(2,5)",JSJ_hyperbolic_piece_volume,0.0,0.0,0.0,contains flat tetrahedra,False,False,not_attempted_for_nonhyperbolic_fixture,,True,,5,1.6094379124341003,5,2,5,5,True,True,1.381966011250105,10.0,10.0,0.0
5_2,True,5,1,True,hyperbolic,,JSJ_hyperbolic_piece_volume,2.828122088330783,2.828122088330783,2.7864874890046516,all tetrahedra positively oriented,True,False,unavailable,"SageNotAvailable: Sorry, this feature requires using SnapPy inside Sage.",True,eLPkbcdddhggcv,7,1.9459101490553132,4,3,7,7,True,True,1.9999999999999998,3.0,7.0,0.5656244176661567
6_1,True,6,1,True,hyperbolic,,JSJ_hyperbolic_piece_volume,3.1639632288831443,3.1639632288831443,3.1173844967058097,all tetrahedra positively oriented,True,False,unavailable,"SageNotAvailable: Sorry, this feature requires using SnapPy inside Sage.",True,gLLPQccdfeffhggaaof,9,2.1972245773362196,5,3,9,9,True,True,1.3819660112501049,2.9999999999999996,8.999999999999998,0.5273272048138574
6_2,True,6,1,True,hyperbolic,,JSJ_hyperbolic_piece_volume,4.400832516123044,4.400832516123044,4.336045037793797,all tetrahedra positively oriented,True,False,unavailable,"SageNotAvailable: Sorry, this feature requires using SnapPy inside Sage.",True,gLLPQccdefffhggaaof,11,2.3978952727983707,3,5,11,11,True,True,4.267949192431122,1.3819660112501042,7.732050807568877,0.7334720860205074
6_3,True,6,1,True,hyperbolic,,JSJ_hyperbolic_piece_volume,5.693021091281301,5.693021091281301,5.609210476078824,all tetrahedra positively oriented,True,False,unavailable,"SageNotAvailable: Sorry, this feature requires using SnapPy inside Sage.",True,gLLPQccdefffhggaacv,13,2.5649493574615367,4,4,13,13,True,True,2.267949192431123,2.2679491924311233,5.732050807568877,0.9488368485468834
7_1,True,7,1,True,torus,"T(2,7)",JSJ_hyperbolic_piece_volume,0.0,0.0,0.0,contains flat tetrahedra,False,False,not_attempted_for_nonhyperbolic_fixture,,True,,7,1.9459101490553132,7,2,7,7,True,True,0.7530203962825331,14.0,14.0,0.0
7_2,True,7,1,True,hyperbolic,,JSJ_hyperbolic_piece_volume,3.3317442316411157,3.3317442316411157,3.282695487701139,all tetrahedra positively oriented,True,False,unavailable,"SageNotAvailable: Sorry, this feature requires using SnapPy inside Sage.",True,iLLPwQcccdfehghhhggaaaacv,11,2.3978952727983707,3,6,11,11,True,True,2.9999999999999996,1.0,11.000000000000004,0.4759634616630165
7_3,True,7,1,True,hyperbolic,,JSJ_hyperbolic_piece_volume,4.592125697027062,4.592125697027062,4.52452206907909,all tetrahedra positively oriented,True,False,unavailable,"SageNotAvailable: Sorry, this feature requires using SnapPy inside Sage.",True,iLLPwQcccdefghhhqffaaaagb,13,2.5649493574615367,5,4,13,13,True,True,1.3819660112501055,1.9999999999999998,9.162277660168373,0.6560179567181518
7_4,True,7,1,True,hyperbolic,,JSJ_hyperbolic_piece_volume,5.137941201873417,5.137941201873417,5.062302273772021,all tetrahedra positively oriented,True,False,unavailable,"SageNotAvailable: Sorry, this feature requires using SnapPy inside Sage.",True,iLLPwQcccdefhghhqffaaaagb,15,2.70805020110221,6,3,15,15,True,True,0.9999999999999993,4.999999999999998,9.000000000000002,0.733991600267631
7_5,True,7,1,True,hyperbolic,,JSJ_hyperbolic_piece_volume,6.443537380850574,6.443537380850574,6.34867793393999,all tetrahedra positively oriented,True,False,unavailable,"SageNotAvailable: Sorry, this feature requires using SnapPy inside Sage.",True,iLLPwQcccdefghhhqffaaaacv,17,2.833213344056216,5,4,17,17,True,True,1.3819660112501044,2.474572439156483,8.156325174658658,0.9205053401215106
7_6,True,7,1,True,hyperbolic,,JSJ_hyperbolic_piece_volume,7.084925953510834,7.084925953510834,6.980624214011378,all tetrahedra positively oriented,True,False,unavailable,"SageNotAvailable: Sorry, this feature requires using SnapPy inside Sage.",True,iLLPwQcccdefghhhhggaaaacv,19,2.9444389791664403,5,4,19,19,True,True,1.6837345421733922,2.290724640563076,6.903211925911554,1.0121322790729763
7_7,True,7,1,True,hyperbolic,,JSJ_hyperbolic_piece_volume,7.643375172359954,7.643375172359954,7.530852143699499,all tetrahedra positively oriented,True,False,unavailable,"SageNotAvailable: Sorry, this feature requires using SnapPy inside Sage.",True,iLLPwQcccdefhghhhggaaaaof,21,3.044522437723423,4,5,21,21,True,True,2.999999999999999,1.585786437626904,7.000000000000003,1.0919107389085647
8_1,True,8,1,True,hyperbolic,,JSJ_hyperbolic_piece_volume,3.4272052462740166,3.4272052462740166,3.376751159505346,all tetrahedra positively oriented,True,False,unavailable,"SageNotAvailable: Sorry, this feature requires using SnapPy inside Sage.",True,kLLPwAPkccdfehgjijjhggaaaaaaof,13,2.5649493574615367,7,3,13,13,True,True,0.753020396282533,3.0000000000000013,13.0,0.42840065578425207
8_2,True,8,1,True,hyperbolic,,JSJ_hyperbolic_piece_volume,4.935242678280654,4.935242678280654,4.862587805163519,all tetrahedra positively oriented,True,False,unavailable,"SageNotAvailable: Sorry, this feature requires using SnapPy inside Sage.",True,kLLPwAPkccdefghijjjhggaaaaaaof,17,2.833213344056216,7,3,17,17,True,True,0.7530203962825336,4.394448724536011,11.605551275463993,0.6169053347850818
8_3,True,8,1,True,hyperbolic,,JSJ_hyperbolic_piece_volume,5.238684100798439,5.238684100798439,5.1615620718616855,all tetrahedra positively oriented,True,False,unavailable,"SageNotAvailable: Sorry, this feature requires using SnapPy inside Sage.",True,kLLPwAPkccdfeghjijjqffaaaaaagb,17,2.833213344056216,5,5,17,17,True,True,1.3819660112501058,1.3819660112501049,9.140054944640262,0.6548355125998049
8_4,True,8,1,True,hyperbolic,,JSJ_hyperbolic_piece_volume,5.500486416347234,5.500486416347234,5.41951022759344,all tetrahedra positively oriented,True,False,unavailable,"SageNotAvailable: Sorry, this feature requires using SnapPy inside Sage.",True,kLLPwAPkccdefhgijjjqffaaaaaacv,19,2.9444389791664403,3,7,19,19,True,True,5.354248688935408,0.7530203962825325,10.64575131106459,0.6875608020434042
8_5,True,8,1,True,hyperbolic,,JSJ_hyperbolic_piece_volume,6.997189147792215,6.997189147792215,6.894179038087428,all tetrahedra positively oriented,True,False,unavailable,"SageNotAvailable: Sorry, this feature requires using SnapPy inside Sage.",True,mvLAzAwQQceffghjkkljllwvllaalaailvf,21,3.044522437723423,3,7,21,21,True,True,7.0,0.9999999999999994,9.0,0.8746486434740268
8_6,True,8,1,True,hyperbolic,,JSJ_hyperbolic_piece_volume,7.475237429505244,7.475237429505244,7.365189664407222,all tetrahedra positively oriented,True,False,unavailable,"SageNotAvailable: Sorry, this feature requires using SnapPy inside Sage.",True,kLLPwAPkccdefghijjjqffaaaaaacv,23,3.1354942159291497,5,5,23,23,True,True,1.3819660112501038,1.56845312646946,8.192582403567254,0.9344046786881555
8_7,True,8,1,True,hyperbolic,,JSJ_hyperbolic_piece_volume,7.022196589095252,7.022196589095252,6.91881832880633,all tetrahedra positively oriented,True,False,unavailable,"SageNotAvailable: Sorry, this feature requires using SnapPy inside Sage.",True,kLLPwAPkccdefhgijjjhggaaaaaacv,23,3.1354942159291497,6,4,23,23,True,True,1.04453826275436,2.3944487245360104,9.605551275463991,0.8777745736369065
8_8,True,8,1,True,hyperbolic,,JSJ_hyperbolic_piece_volume,7.801341224440063,7.801341224440063,7.686492676201573,all tetrahedra positively oriented,True,False,unavailable,"SageNotAvailable: Sorry, this feature requires using SnapPy inside Sage.",True,kLLPwAPkccdefghijjjhggaaaaaacv,25,3.2188758248682006,6,4,25,25,True,True,1.1791777241177934,2.2984378812835766,8.701562118716424,0.9751676530550079
8_9,True,8,1,True,hyperbolic,,JSJ_hyperbolic_piece_volume,7.588180223641627,7.588180223641627,7.47646975522537,all tetrahedra positively oriented,True,False,unavailable,"SageNotAvailable: Sorry, this feature requires using SnapPy inside Sage.",True,kLLPwAPkccdefhgjijjqffaaaaaacv,25,3.2188758248682006,5,5,25,25,True,True,1.5183642993786315,1.518364299378631,7.6553404994292835,0.9485225279552034
8_10,True,8,1,True,hyperbolic,,JSJ_hyperbolic_piece_volume,8.651148558017082,8.651148558017082,8.523789450922639,all tetrahedra positively oriented,True,False,unavailable,"SageNotAvailable: Sorry, this feature requires using SnapPy inside Sage.",True,lLLzPvQQcccdghhijkjkkqffgcblapgfo,27,3.295836866004329,4,6,27,27,True,True,2.4920972286234426,1.2955321857406863,8.263542847409976,1.0813935697521353
