feature,graph_count,pearson_with_block_nodes_saved,spearman_with_block_nodes_saved
biconnected_block_count,1015,0.3952784980207094,0.49947324663912607
algebraic_connectivity,1015,-0.38174718898339394,-0.45734129861141465
articulation_count,1015,0.3619134917785139,0.44356618343986537
fiedler_sign_cut_edges,774,-0.27887475116156424,-0.3272195278502971
adjacency_energy,1015,-0.11098437939752814,-0.24166882643236537
edge_count,1015,-0.1621077216627289,-0.23206076708764953
largest_laplacian_eigenvalue,1015,-0.11522705990027207,-0.19031393464028837
fiedler_median_cut_edges,774,-0.1258438434202295,-0.1362829281776879
bfs_balanced_cut_edges,774,-0.0948466573246953,-0.1069784209803861
adjacency_spectral_radius,1015,-0.03253954965171625,-0.09317379681085948
vertex_count,1015,0.07220123353624733,0.06973663431058626
adjacency_spectral_gap,1015,0.020037402530848222,0.017031691333556767
