atlas_index,vertex_count,edge_count,route,block_outcome,block_search_nodes_saved,method,separator_vertices,cut_edge_count,residual_cross_edge_count,smallest_part_size,largest_part_size,balance_ratio,adjacency_spectrum_partition_error,part_count,part_sizes
1,1,0,edgeless,tied,0,connected_components,,0,0,1,1,1.0,0.0,1,1
2,2,0,edgeless,tied,0,connected_components,,0,0,1,1,1.0,0.0,2,1 1
3,2,1,bipartite,tied,0,connected_components,,0,0,2,2,1.0,0.0,1,2
3,2,1,bipartite,tied,0,fiedler_median,,1,1,1,1,1.0,1.0,2,1 1
3,2,1,bipartite,tied,0,fiedler_sign,,1,1,1,1,1.0,1.0,2,1 1
3,2,1,bipartite,tied,0,bfs_balanced,,1,1,1,1,1.0,1.0,2,1 1
4,3,0,edgeless,tied,0,connected_components,,0,0,1,1,1.0,0.0,3,1 1 1
5,3,1,bipartite,tied,0,connected_components,,0,0,1,2,0.5,0.0,2,1 2
6,3,2,bipartite,tied,0,connected_components,,0,0,3,3,1.0,0.0,1,3
6,3,2,bipartite,tied,0,articulation_separator,0,2,0,1,1,1.0,0.9428090415820635,3,1 1 1
6,3,2,bipartite,tied,0,fiedler_median,,1,1,1,2,0.5,0.2761423749153968,2,1 2
6,3,2,bipartite,tied,0,fiedler_sign,,1,1,1,2,0.5,0.2761423749153968,2,1 2
6,3,2,bipartite,tied,0,bfs_balanced,,2,2,1,2,0.5,0.9428090415820635,2,1 2
7,3,3,eulerian_sphere_triangulation,tied,0,connected_components,,0,0,3,3,1.0,0.0,1,3
7,3,3,eulerian_sphere_triangulation,tied,0,fiedler_median,,2,2,1,2,0.5,0.6666666666666666,2,1 2
7,3,3,eulerian_sphere_triangulation,tied,0,fiedler_sign,,2,2,1,2,0.5,0.6666666666666666,2,1 2
7,3,3,eulerian_sphere_triangulation,tied,0,bfs_balanced,,2,2,1,2,0.5,0.6666666666666666,2,1 2
8,4,0,edgeless,tied,0,connected_components,,0,0,1,1,1.0,0.0,4,1 1 1 1
9,4,1,bipartite,tied,0,connected_components,,0,0,1,2,0.5,0.0,3,1 1 2
10,4,2,bipartite,tied,0,connected_components,,0,0,1,3,0.3333333333333333,0.0,2,1 3
10,4,2,bipartite,tied,0,articulation_separator,3,2,0,1,1,1.0,0.7071067811865477,4,1 1 1 1
11,4,2,bipartite,tied,0,connected_components,,0,0,2,2,1.0,0.0,2,2 2
12,4,3,block_decomposition,improved,1,connected_components,,0,0,1,3,0.3333333333333333,0.0,2,1 3
13,4,3,bipartite,tied,0,connected_components,,0,0,4,4,1.0,0.0,1,4
13,4,3,bipartite,tied,0,articulation_separator,3,3,0,1,1,1.0,0.8660254037844386,4,1 1 1 1
13,4,3,bipartite,tied,0,fiedler_median,,2,2,2,2,1.0,0.3660254037844386,2,2 2
13,4,3,bipartite,tied,0,fiedler_sign,,1,1,1,3,0.3333333333333333,0.15891862259789097,2,3 1
13,4,3,bipartite,tied,0,bfs_balanced,,2,2,2,2,1.0,0.3660254037844386,2,2 2
14,4,3,bipartite,tied,0,connected_components,,0,0,4,4,1.0,0.0,1,4
14,4,3,bipartite,tied,0,articulation_separator,0,2,0,1,2,0.5,0.6180339887498949,3,2 1 1
14,4,3,bipartite,tied,0,fiedler_median,,1,1,2,2,1.0,0.49999999999999994,2,2 2
14,4,3,bipartite,tied,0,fiedler_sign,,1,1,2,2,1.0,0.49999999999999994,2,2 2
14,4,3,bipartite,tied,0,bfs_balanced,,2,2,2,2,1.0,0.6180339887498949,2,2 2
15,4,4,block_decomposition,improved,1,connected_components,,0,0,4,4,1.0,0.0,1,4
15,4,4,block_decomposition,improved,1,articulation_separator,3,3,0,1,2,0.5,0.7405971520460078,3,1 2 1
15,4,4,block_decomposition,improved,1,fiedler_median,,2,2,2,2,1.0,0.5850432433130172,2,2 2
15,4,4,block_decomposition,improved,1,fiedler_sign,,2,2,2,2,1.0,0.5850432433130172,2,2 2
15,4,4,block_decomposition,improved,1,bfs_balanced,,2,2,2,2,1.0,0.5850432433130172,2,2 2
16,4,4,bipartite,tied,0,connected_components,,0,0,4,4,1.0,0.0,1,4
16,4,4,bipartite,tied,0,fiedler_median,,2,2,2,2,1.0,1.0,2,2 2
16,4,4,bipartite,tied,0,fiedler_sign,,2,2,2,2,1.0,1.0,2,2 2
16,4,4,bipartite,tied,0,bfs_balanced,,2,2,2,2,1.0,1.0,2,2 2
17,4,5,generic_planar_three_color_yes,tied,0,connected_components,,0,0,4,4,1.0,0.0,1,4
17,4,5,generic_planar_three_color_yes,tied,0,fiedler_median,,3,3,2,2,1.0,0.7807764064044147,2,2 2
17,4,5,generic_planar_three_color_yes,tied,0,fiedler_sign,,2,2,1,3,0.3333333333333333,0.28077640640441504,2,1 3
17,4,5,generic_planar_three_color_yes,tied,0,bfs_balanced,,3,3,2,2,1.0,0.7807764064044147,2,2 2
18,4,6,non_eulerian_sphere_triangulation,tied,0,connected_components,,0,0,4,4,1.0,0.0,1,4
18,4,6,non_eulerian_sphere_triangulation,tied,0,fiedler_median,,4,4,2,2,1.0,0.9999999999999999,2,2 2
18,4,6,non_eulerian_sphere_triangulation,tied,0,fiedler_sign,,3,3,1,3,0.3333333333333333,0.5,2,3 1
18,4,6,non_eulerian_sphere_triangulation,tied,0,bfs_balanced,,4,4,2,2,1.0,0.9999999999999999,2,2 2
19,5,0,edgeless,tied,0,connected_components,,0,0,1,1,1.0,0.0,5,1 1 1 1 1
20,5,1,bipartite,tied,0,connected_components,,0,0,1,2,0.5,0.0,4,1 1 1 2
21,5,2,bipartite,tied,0,connected_components,,0,0,1,3,0.3333333333333333,0.0,3,3 1 1
21,5,2,bipartite,tied,0,articulation_separator,1,2,0,1,1,1.0,0.5656854249492381,5,1 1 1 1 1
22,5,2,bipartite,tied,0,connected_components,,0,0,1,2,0.5,0.0,3,2 1 2
23,5,3,block_decomposition,improved,2,connected_components,,0,0,1,3,0.3333333333333333,0.0,3,3 1 1
24,5,3,bipartite,tied,0,connected_components,,0,0,1,4,0.25,0.0,2,1 4
24,5,3,bipartite,tied,0,articulation_separator,3,3,0,1,1,1.0,0.6928203230275509,5,1 1 1 1 1
25,5,3,bipartite,tied,0,connected_components,,0,0,1,4,0.25,0.0,2,4 1
25,5,3,bipartite,tied,0,articulation_separator,3,2,0,1,2,0.5,0.49442719099991594,4,2 1 1 1
26,5,3,bipartite,tied,0,connected_components,,0,0,2,3,0.6666666666666666,0.0,2,3 2
26,5,3,bipartite,tied,0,articulation_separator,1,2,0,1,2,0.5,0.565685424949238,4,1 1 2 1
27,5,4,block_decomposition,improved,2,connected_components,,0,0,1,4,0.25,0.0,2,1 4
27,5,4,block_decomposition,improved,2,articulation_separator,3,3,0,1,2,0.5,0.5924777216368062,4,1 2 1 1
28,5,4,bipartite,tied,0,connected_components,,0,0,1,4,0.25,0.0,2,4 1
29,5,4,bipartite,tied,0,connected_components,,0,0,5,5,1.0,0.0,1,5
29,5,4,bipartite,tied,0,articulation_separator,4,4,0,1,1,1.0,0.7999999999999999,5,1 1 1 1 1
29,5,4,bipartite,tied,0,fiedler_median,,2,2,2,3,0.6666666666666666,0.23431457505076186,2,2 3
29,5,4,bipartite,tied,0,fiedler_sign,,3,3,2,3,0.6666666666666666,0.3999999999999999,2,3 2
29,5,4,bipartite,tied,0,bfs_balanced,,3,3,2,3,0.6666666666666666,0.3999999999999999,2,2 3
30,5,4,bipartite,tied,0,connected_components,,0,0,5,5,1.0,0.0,1,5
30,5,4,bipartite,tied,0,articulation_separator,3,3,0,1,2,0.5,0.6452503719011015,4,2 1 1 1
30,5,4,bipartite,tied,0,fiedler_median,,2,2,2,3,0.6666666666666666,0.4795649469518633,2,2 3
30,5,4,bipartite,tied,0,fiedler_sign,,1,1,2,3,0.6666666666666666,0.2672714551677197,2,3 2
30,5,4,bipartite,tied,0,bfs_balanced,,2,2,2,3,0.6666666666666666,0.43295688011695777,2,2 3
31,5,4,bipartite,tied,0,connected_components,,0,0,5,5,1.0,0.0,1,5
31,5,4,bipartite,tied,0,articulation_separator,1,2,0,2,2,1.0,0.2928203230275509,3,2 2 1
31,5,4,bipartite,tied,0,fiedler_median,,1,1,2,3,0.6666666666666666,0.12713489807831282,2,2 3
31,5,4,bipartite,tied,0,fiedler_sign,,1,1,2,3,0.6666666666666666,0.12713489807831277,2,3 2
31,5,4,bipartite,tied,0,bfs_balanced,,2,2,2,3,0.6666666666666666,0.2928203230275509,2,2 3
32,5,4,block_decomposition,improved,2,connected_components,,0,0,2,3,0.6666666666666666,0.0,2,3 2
33,5,5,block_decomposition,improved,1,connected_components,,0,0,1,4,0.25,0.0,2,4 1
34,5,5,block_decomposition,improved,2,connected_components,,0,0,5,5,1.0,0.0,1,5
34,5,5,block_decomposition,improved,2,articulation_separator,4,4,0,1,2,0.5,0.7254426010593321,4,1 1 2 1
34,5,5,block_decomposition,improved,2,fiedler_median,,3,3,2,3,0.6666666666666666,0.5597571761100941,2,2 3
34,5,5,block_decomposition,improved,2,fiedler_sign,,3,3,2,3,0.6666666666666666,0.537169233110868,2,3 2
