fixture,vertex_count,edge_count,connected_component_count,adjacency_spectral_radius,adjacency_spectral_gap,adjacency_energy,algebraic_connectivity,largest_laplacian_eigenvalue,method,separator_vertices,cut_edge_count,residual_cross_edge_count,smallest_part_size,largest_part_size,balance_ratio,adjacency_spectrum_partition_error,part_count,part_sizes
edgeless_8,8,0,8,0.0,0.0,0.0,0.0,0.0,connected_components,,0,0,1,1,1.0,0.0,8,1 1 1 1 1 1 1 1
path_8,8,7,1,1.8793852415718166,0.34729635533386016,9.517540966287267,0.15224093497742652,3.847759065022573,connected_components,,0,0,8,8,1.0,0.0,1,8
path_8,8,7,1,1.8793852415718166,0.34729635533386016,9.517540966287267,0.15224093497742652,3.847759065022573,articulation_separator,3,2,0,3,4,0.75,0.27712223581768713,3,3 4 1
path_8,8,7,1,1.8793852415718166,0.34729635533386016,9.517540966287267,0.15224093497742652,3.847759065022573,fiedler_median,,1,1,4,4,1.0,0.24999999999999983,2,4 4
path_8,8,7,1,1.8793852415718166,0.34729635533386016,9.517540966287267,0.15224093497742652,3.847759065022573,fiedler_sign,,1,1,4,4,1.0,0.24999999999999983,2,4 4
path_8,8,7,1,1.8793852415718166,0.34729635533386016,9.517540966287267,0.15224093497742652,3.847759065022573,bfs_balanced,,1,1,4,4,1.0,0.24999999999999983,2,4 4
odd_cycle_7,7,7,1,2.0,0.7530203962825319,8.98791841486987,0.7530203962825331,3.80193773580484,connected_components,,0,0,7,7,1.0,0.0,1,7
odd_cycle_7,7,7,1,2.0,0.7530203962825319,8.98791841486987,0.7530203962825331,3.80193773580484,fiedler_median,,2,2,3,4,0.75,0.3382582134442696,2,3 4
odd_cycle_7,7,7,1,2.0,0.7530203962825319,8.98791841486987,0.7530203962825331,3.80193773580484,fiedler_sign,,2,2,3,4,0.75,0.3382582134442696,2,3 4
odd_cycle_7,7,7,1,2.0,0.7530203962825319,8.98791841486987,0.7530203962825331,3.80193773580484,bfs_balanced,,2,2,3,4,0.75,0.3382582134442695,2,3 4
octahedral,6,12,1,4.000000000000001,4.000000000000001,8.0,3.9999999999999996,6.000000000000001,connected_components,,0,0,6,6,1.0,0.0,1,6
octahedral,6,12,1,4.000000000000001,4.000000000000001,8.0,3.9999999999999996,6.000000000000001,fiedler_median,,6,6,3,3,1.0,1.3333333333333333,2,3 3
octahedral,6,12,1,4.000000000000001,4.000000000000001,8.0,3.9999999999999996,6.000000000000001,fiedler_sign,,6,6,2,4,0.5,0.8128157290637233,2,2 4
octahedral,6,12,1,4.000000000000001,4.000000000000001,8.0,3.9999999999999996,6.000000000000001,bfs_balanced,,6,6,3,3,1.0,1.3333333333333333,2,3 3
tetrahedral_K4,4,6,1,3.0,3.9999999999999996,6.0,3.9999999999999982,4.0,connected_components,,0,0,4,4,1.0,0.0,1,4
tetrahedral_K4,4,6,1,3.0,3.9999999999999996,6.0,3.9999999999999982,4.0,fiedler_median,,4,4,2,2,1.0,0.9999999999999999,2,2 2
tetrahedral_K4,4,6,1,3.0,3.9999999999999996,6.0,3.9999999999999982,4.0,fiedler_sign,,3,3,1,3,0.3333333333333333,0.5,2,3 1
tetrahedral_K4,4,6,1,3.0,3.9999999999999996,6.0,3.9999999999999982,4.0,bfs_balanced,,4,4,2,2,1.0,0.9999999999999999,2,2 2
wheel_6,6,10,1,3.449489742783177,2.8314557540332816,9.371115440565937,2.3819660112501047,6.0,connected_components,,0,0,6,6,1.0,0.0,1,6
wheel_6,6,10,1,3.449489742783177,2.8314557540332816,9.371115440565937,2.3819660112501047,6.0,fiedler_median,,5,5,3,3,1.0,0.6891745771776909,2,3 3
wheel_6,6,10,1,3.449489742783177,2.8314557540332816,9.371115440565937,2.3819660112501047,6.0,fiedler_sign,,4,4,2,4,0.5,0.5019903062414143,2,4 2
wheel_6,6,10,1,3.449489742783177,2.8314557540332816,9.371115440565937,2.3819660112501047,6.0,bfs_balanced,,5,5,3,3,1.0,0.6891745771776909,2,3 3
wheel_7,7,12,1,3.6457513110645907,2.6457513110645907,11.291502622129181,2.0000000000000004,7.0,connected_components,,0,0,7,7,1.0,0.0,1,7
wheel_7,7,12,1,3.6457513110645907,2.6457513110645907,11.291502622129181,2.0000000000000004,7.0,fiedler_median,,5,5,3,4,0.75,0.5954852852159317,2,3 4
wheel_7,7,12,1,3.6457513110645907,2.6457513110645907,11.291502622129181,2.0000000000000004,7.0,fiedler_sign,,5,5,3,4,0.75,0.5954852852159317,2,3 4
wheel_7,7,12,1,3.6457513110645907,2.6457513110645907,11.291502622129181,2.0000000000000004,7.0,bfs_balanced,,6,6,3,4,0.75,0.5793478063756273,2,3 4
grid_4x4,16,24,1,3.2360679774997907,0.9999999999999987,21.88854381999832,0.5857864376269046,6.828427124746188,connected_components,,0,0,16,16,1.0,0.0,1,16
